dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
2022-04-27,27,4,2022,614,11,Latvia,LV,LVA,1907675,Europe
2022-04-27,27,4,2022,6443,17,Austria,AT,AUT,8901064,Europe
2022-04-27,27,4,2022,67711,152,France,FR,FRA,67320216,Europe
2022-04-27,27,4,2022,741,23,Bulgaria,BG,BGR,6951482,Europe
2022-04-27,27,4,2022,746,7,Lithuania,LT,LTU,2794090,Europe
2022-04-27,27,4,2022,88431,186,Italy,IT,ITA,59641488,Europe
2022-04-27,27,4,2022,940,21,Poland,PL,POL,37958138,Europe
2022-04-27,27,4,2022,970,26,Ireland,IE,IRL,4964440,Europe
2022-04-28,28,4,2022,,57,Spain,ES,ESP,47332614,Europe
2022-04-28,28,4,2022,0,0,Iceland,IS,ISL,364134,Europe
2022-04-28,28,4,2022,10,0,Liechtenstein,LI,LIE,38747,Europe
2022-04-28,28,4,2022,1088,8,Denmark,DK,DNK,5822763,Europe
2022-04-28,28,4,2022,1146,15,Romania,RO,ROU,19328838,Europe
2022-04-28,28,4,2022,1148,22,Ireland,IE,IRL,4964440,Europe
2022-04-28,28,4,2022,1163,12,Slovakia,SK,SVK,5457873,Europe
2022-04-28,28,4,2022,1243,3,Netherlands,NL,NLD,17407585,Europe
2022-04-28,28,4,2022,1267,1,Slovenia,SI,SVN,2095861,Europe
2022-04-28,28,4,2022,13951,12,Portugal,PT,PRT,10295909,Europe
2022-04-28,28,4,2022,1560,12,Czechia,CZ,CZE,10693939,Europe
2022-04-28,28,4,2022,1736,27,Hungary,HU,HUN,9769526,Europe
2022-04-28,28,4,2022,206,2,Malta,MT,MLT,514564,Europe
2022-04-28,28,4,2022,2790,17,Finland,FI,FIN,5525292,Europe
2022-04-28,28,4,2022,294,0,Estonia,EE,EST,1328976,Europe
2022-04-28,28,4,2022,340,0,Norway,NO,NOR,5367580,Europe
2022-04-28,28,4,2022,372,10,Sweden,SE,SWE,10327589,Europe
2022-04-28,28,4,2022,3786,9,Cyprus,CY,CYP,888005,Europe
2022-04-28,28,4,2022,4857,16,Belgium,BE,BEL,11522440,Europe
2022-04-28,28,4,2022,527,8,Latvia,LV,LVA,1907675,Europe
2022-04-28,28,4,2022,588,8,Bulgaria,BG,BGR,6951482,Europe
2022-04-28,28,4,2022,59760,132,France,FR,FRA,67320216,Europe
2022-04-28,28,4,2022,6046,15,Austria,AT,AUT,8901064,Europe
2022-04-28,28,4,2022,608,0,Luxembourg,LU,LUX,626108,Europe
2022-04-28,28,4,2022,647,6,Lithuania,LT,LTU,2794090,Europe
